estimator,estimate,se,lower,upper,rep,truth
Outcome regression,0.05169981960707244,,,,5,0.06088195726098464
IPW,0.06310288511599445,0.006863476788339761,0.0496507176960129,0.076555052535976,5,0.06088195726098464
AIPW,0.06270563343191644,0.0068513827453650115,0.049277169900779856,0.07613409696305304,5,0.06088195726098464
TMLE,0.06297454354930646,0.006810027292983151,0.04962713521604203,0.07632195188257089,5,0.06088195726098464
Naive comparison,0.09566222692117633,0.004664699390044088,0.08651958404586796,0.1048048697964847,6,0.06088195726098464
Outcome regression,0.05400975614132264,,,,6,0.06088195726098464
IPW,0.062065801444260923,0.006610801257563929,0.04910886896828089,0.07502273392024095,6,0.06088195726098464
AIPW,0.06062688607071572,0.0065388719485882625,0.04781093245087288,0.07344283969055856,6,0.06088195726098464
TMLE,0.060903014714802244,0.006530645680725438,0.04810318428382489,0.0737028451457796,6,0.06088195726098464
Naive comparison,0.10247240667108162,0.0046551019296710025,0.09334857447259592,0.11159623886956732,7,0.06088195726098464
Outcome regression,0.06417348446511091,,,,7,0.06088195726098464
IPW,0.0736659247461957,0.006537224811364259,0.06085319945601496,0.08647865003637643,7,0.06088195726098464
AIPW,0.07175051180135947,0.006483723122979778,0.05904264789435153,0.08445837570836741,7,0.06088195726098464
TMLE,0.07175536551023776,0.006460913549186088,0.059092207546720794,0.08441852347375473,7,0.06088195726098464
Naive comparison,0.09881344173971686,0.0046900001917857285,0.08962121020382374,0.10800567327560998,8,0.06088195726098464
Outcome regression,0.05372967184347559,,,,8,0.06088195726098464
IPW,0.05768214446262285,0.007122078039870737,0.04372312789928564,0.07164116102596006,8,0.06088195726098464
AIPW,0.05508962977337143,0.0070086770235188115,0.04135287511964741,0.06882638442709546,8,0.06088195726098464
TMLE,0.05506391755560664,0.007018323549609926,0.04130825605801897,0.06881957905319432,8,0.06088195726098464
Naive comparison,0.09739129764751317,0.00464510736734294,0.08828705443138624,0.1064955408636401,9,0.06088195726098464
Outcome regression,0.05497110921891333,,,,9,0.06088195726098464
IPW,0.058149991747660085,0.006718223491808663,0.04498251555976081,0.07131746793555936,9,0.06088195726098464
AIPW,0.055739524098613435,0.006483450942788331,0.043032193654982245,0.06844685454224463,9,0.06088195726098464
TMLE,0.05579595500209729,0.006482163148468571,0.043091148588972235,0.06850076141522235,9,0.06088195726098464
Naive comparison,0.09936216769892636,0.0046282424366406,0.09029097913983851,0.10843335625801422,10,0.06088195726098464
Outcome regression,0.05858569894747842,,,,10,0.06088195726098464
IPW,0.06645896607250087,0.0068124755654338865,0.05310675921337081,0.07981117293163094,10,0.06088195726098464
AIPW,0.06540611027988864,0.006842452313486753,0.051995150073737895,0.07881707048603939,10,0.06088195726098464
TMLE,0.06503646606291558,0.006794476336399208,0.05171953704472124,0.07835339508110992,10,0.06088195726098464
Naive comparison,0.09869680659982855,0.004619511757455757,0.08964272985763853,0.10775088334201856,11,0.06088195726098464
Outcome regression,0.05805341584149416,,,,11,0.06088195726098464
IPW,0.06375388615744274,0.007034430415650437,0.049966655782262843,0.07754111653262263,11,0.06088195726098464
AIPW,0.06259477991087305,0.006905436648764809,0.049060372675013376,0.07612918714673272,11,0.06088195726098464
TMLE,0.06253401657704885,0.006896296110509416,0.04901752446711037,0.07605050868698733,11,0.06088195726098464
Naive comparison,0.09720693201868952,0.004637906425573929,0.08811680238919593,0.1062970616481831,12,0.06088195726098464
Outcome regression,0.0531554699377519,,,,12,0.06088195726098464
IPW,0.061185952837448945,0.006805714522359432,0.047846997379347264,0.07452490829555063,12,0.06088195726098464
